scenario,variant,seed,knob:arrivals.rate_per_min,knob:arrivals.burst_factor,knob:resources.model.slots.capacity,knob:resources.sandbox.mem.capacity,knob:resources.sandbox.cpu.capacity,knob:resources.ext.search.rpm,knob:resources.ext.search.background_load,knob:resources.ext.web.rpm,knob:resources.ext.web.background_load,knob:resources.ext.api.rpm,knob:framework.step_timeout_s,knob:framework.sandbox_idle_timeout_s,knob:framework.sandbox_cold_start_s,knob:reaction.after_sdk.abort,knob:generator.recipe_temperature,knob:generator.think_snr,knob:generator.tool_tail_scale,knob:generator.p_parallel_scale,knob:reaction.after_sdk.replan,policy,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
scenario_0000,gate_sampled,1,1.5314473484503204,5.671979744179576,32,146,20,118.15435928822426,0.4671780770363505,198.8399906988341,0.5225994366098029,323.9938379078523,600,900,6.488074180705539,0.39370433369205043,0.32144273536910634,0.3634006728383617,1.349725884455698,1.3830694948135276,0.6062956663079495,reactive_gate,586,424,36,0.0782608695652174,0.22695035460992907,424,127.29292900527412,3022.0497381691484,70.86829143704722,600.0000000000005,0,461,2,0,0,0.02671837645870874,0.5443227693173488,2792352179.900412,0.0,0,0.0,0.0,0.0,0.0,41,0,0.45005455965048685,0.4932740463333612,0.33220853322892385,0.14810458820143008,231.27272727272728,0.21
scenario_0000,gate_sampled,2,1.5314473484503204,5.671979744179576,32,146,20,118.15435928822426,0.4671780770363505,198.8399906988341,0.5225994366098029,323.9938379078523,600,900,6.488074180705539,0.39370433369205043,0.32144273536910634,0.3634006728383617,1.349725884455698,1.3830694948135276,0.6062956663079495,reactive_gate,641,448,70,0.13513513513513514,0.40993788819875776,448,78.17346272000634,2746.8042788133475,40.8682168466231,600.0000000000005,0,603,2,0,0,0.07890935018195219,0.6047543705563198,1600074477.4667346,0.0,0,0.0,0.0,0.0,0.0,51,0,0.40607913745959573,0.49447039024532685,0.331374675672996,0.14152649108783427,244.36363636363637,0.22
scenario_0000,gate_sampled,3,1.5314473484503204,5.671979744179576,32,146,20,118.15435928822426,0.4671780770363505,198.8399906988341,0.5225994366098029,323.9938379078523,600,900,6.488074180705539,0.39370433369205043,0.32144273536910634,0.3634006728383617,1.349725884455698,1.3830694948135276,0.6062956663079495,reactive_gate,616,469,72,0.133086876155268,0.43125,469,27.435657393692964,2975.270504190811,5.12374500588453,600.0000000000005,0,593,0,0,0,0.0853870671790585,0.6780829242445734,3664878641.6733885,0.0,0,0.0,0.0,0.0,0.0,41,1,0.4650044795171408,0.609131112158848,0.24975799003253693,0.13909883083083566,255.81818181818184,0.18
scenario_0000,gate_sampled,4,1.5314473484503204,5.671979744179576,32,146,20,118.15435928822426,0.4671780770363505,198.8399906988341,0.5225994366098029,323.9938379078523,600,900,6.488074180705539,0.39370433369205043,0.32144273536910634,0.3634006728383617,1.349725884455698,1.3830694948135276,0.6062956663079495,reactive_gate,587,460,48,0.09448818897637795,0.3051948051948052,460,67.362111079447,2448.69560593602,36.09350878033345,600.0000000000005,0,398,3,0,0,0.04137474952480391,0.515898110363122,1894806764.8133,0.0,0,0.0,0.0,0.0,0.0,50,0,0.5304655920823188,0.6167227800416268,0.30218527582515864,0.15008286613145683,250.9090909090909,0.19
scenario_0000,gate_sampled,5,1.5314473484503204,5.671979744179576,32,146,20,118.15435928822426,0.4671780770363505,198.8399906988341,0.5225994366098029,323.9938379078523,600,900,6.488074180705539,0.39370433369205043,0.32144273536910634,0.3634006728383617,1.349725884455698,1.3830694948135276,0.6062956663079495,reactive_gate,940,714,73,0.09275730622617535,0.3791208791208791,714,22.0347589386638,2734.545934078355,93.59973984074799,600.0000000000005,0,731,6,0,0,0.034348916995822765,0.4482976573699494,655491610.4113685,0.0,0,0.0,0.0,0.0,0.0,47,0,0.4214214479371843,0.5139842100829818,0.4144741088893745,0.15784333346102114,389.4545454545455,0.32
scenario_0000,gate_ship,1,1.5314473484503204,5.671979744179576,32,146,20,118.15435928822426,0.4671780770363505,198.8399906988341,0.5225994366098029,323.9938379078523,600,900,6.488074180705539,0.39370433369205043,0.32144273536910634,0.3634006728383617,1.349725884455698,1.3830694948135276,0.6062956663079495,reactive_gate,607,471,18,0.03680981595092025,0.10067114093959731,471,197.41417855148302,2778.6732287577074,93.13348367474612,600.0,0,330,4,0,0,0.01763061775156315,0.47767804601317704,1638739304.598717,0.0,0,0.0,0.0,0.0,0.0,41,1,0.5600334865471731,0.5805995600626552,0.39372180727952605,0.2186871352636088,256.90909090909093,0.25
scenario_0000,gate_ship,2,1.5314473484503204,5.671979744179576,32,146,20,118.15435928822426,0.4671780770363505,198.8399906988341,0.5225994366098029,323.9938379078523,600,900,6.488074180705539,0.39370433369205043,0.32144273536910634,0.3634006728383617,1.349725884455698,1.3830694948135276,0.6062956663079495,reactive_gate,649,491,25,0.04844961240310078,0.1456953642384106,491,166.72761714837907,2413.86364813448,57.301329504913426,600.0000000000005,0,419,4,0,0,0.05275070250802616,0.5402871630951487,839045909.9021481,0.0,0,0.0,0.0,0.0,0.0,48,0,0.498478904320174,0.5141674949890629,0.3886320214686933,0.19905188097750215,267.8181818181818,0.25
scenario_0000,gate_ship,3,1.5314473484503204,5.671979744179576,32,146,20,118.15435928822426,0.4671780770363505,198.8399906988341,0.5225994366098029,323.9938379078523,600,900,6.488074180705539,0.39370433369205043,0.32144273536910634,0.3634006728383617,1.349725884455698,1.3830694948135276,0.6062956663079495,reactive_gate,630,521,33,0.05956678700361011,0.2,521,70.62595661769865,2553.080196508543,16.76386311600181,600.0000000000005,0,445,0,0,0,0.049005469179809705,0.6275886656653413,2904662252.7301645,0.0,0,0.0,0.0,0.0,0.0,45,1,0.5636322738259796,0.6252638570079416,0.31996330793512046,0.18825674245424967,284.1818181818182,0.23
scenario_0000,gate_ship,4,1.5314473484503204,5.671979744179576,32,146,20,118.15435928822426,0.4671780770363505,198.8399906988341,0.5225994366098029,323.9938379078523,600,900,6.488074180705539,0.39370433369205043,0.32144273536910634,0.3634006728383617,1.349725884455698,1.3830694948135276,0.6062956663079495,reactive_gate,590,481,21,0.04183266932270916,0.13157894736842105,481,97.36334512192889,2058.290842795005,31.78018718374108,600.0000000000005,0,294,3,0,0,0.03195937903940634,0.5504647905803456,1481548058.164407,0.0,0,0.0,0.0,0.0,0.0,50,0,0.623135356907728,0.647690233753884,0.33701666555782184,0.20805092243037568,262.3636363636364,0.2
scenario_0000,gate_ship,5,1.5314473484503204,5.671979744179576,32,146,20,118.15435928822426,0.4671780770363505,198.8399906988341,0.5225994366098029,323.9938379078523,600,900,6.488074180705539,0.39370433369205043,0.32144273536910634,0.3634006728383617,1.349725884455698,1.3830694948135276,0.6062956663079495,reactive_gate,961,769,38,0.04708798017348203,0.19101123595505617,769,25.657968225572404,2623.5434263857496,98.2906444165967,600.0000000000005,0,582,6,0,0,0.027156262887791598,0.559156206318125,624598039.1778264,0.0,0,0.0,0.0,0.0,0.0,51,0,0.48102561606555116,0.5250590008148075,0.4446863259740838,0.17664633775779848,419.4545454545455,0.36
