scenario,variant,seed,content_snr,knob:arrivals.rate_per_min,knob:arrivals.burst_factor,knob:resources.model.slots.capacity,knob:resources.sandbox.mem.capacity,knob:resources.sandbox.cpu.capacity,knob:resources.ext.search.rpm,knob:resources.ext.search.background_load,knob:resources.ext.web.rpm,knob:resources.ext.web.background_load,knob:resources.ext.api.rpm,knob:framework.step_timeout_s,knob:framework.sandbox_idle_timeout_s,knob:framework.sandbox_cold_start_s,knob:reaction.after_sdk.abort,knob:generator.recipe_temperature,knob:generator.think_snr,knob:generator.tool_tail_scale,knob:generator.p_parallel_scale,knob:reaction.after_sdk.replan,policy,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,budget_errs,usd,usd_per_req,usd_waste_frac,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,spawns,children,children_aborted,join_p99,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
scenario_0004,gate_fifo300,1,0.6,3.675472812031094,4.726257256130564,8,150,24,23.49611347545937,0.13108014550138095,83.85797248786798,0.32010533461546853,594.4266671214542,900,900,1.2981341628087275,0.2178503096121513,0.21844527131830385,0.8356728746335957,0.8319916997110613,0.9064171732216624,0.7821496903878487,reactive_gate,444,73,0,0.0,0.0,73,704.9417963956637,2122.8622310251,423.8550400696959,900.0000000000002,0,0,0.0,0.0,0.0,170,0,0,0,0.0,0.19522715834249657,4410250470.245282,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,nan,0.034282257229565266,0.034282257229565266,0.9525166574786325,0.03595460272784175,87.6,0.23
scenario_0004,gate_fifo300,2,0.6,3.675472812031094,4.726257256130564,8,150,24,23.49611347545937,0.13108014550138095,83.85797248786798,0.32010533461546853,594.4266671214542,900,900,1.2981341628087275,0.2178503096121513,0.21844527131830385,0.8356728746335957,0.8319916997110613,0.9064171732216624,0.7821496903878487,reactive_gate,416,103,2,0.01904761904761905,0.08,103,709.1324094386337,2320.8504844450918,272.24168824286204,900.0000000000002,0,0,0.0,0.0,0.0,303,0,0,0,0.0002753977098824582,0.0,5025010582.5549755,0.0,0,0.0,0.0,0.0,0.0,4,0,0,0,0,nan,0.06340788597336319,0.06377761125600671,0.9703944342414531,0.016870470731401223,123.6,0.32
scenario_0004,gate_fifo300,3,0.6,3.675472812031094,4.726257256130564,8,150,24,23.49611347545937,0.13108014550138095,83.85797248786798,0.32010533461546853,594.4266671214542,900,900,1.2981341628087275,0.2178503096121513,0.21844527131830385,0.8356728746335957,0.8319916997110613,0.9064171732216624,0.7821496903878487,reactive_gate,339,95,1,0.010416666666666666,0.034482758620689655,95,603.8731233495378,1604.4647380073116,266.1194644550491,900.0000000000002,0,0,0.0,0.0,0.0,156,0,0,0,0.0004542760452518646,0.0,4728723997.125379,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,nan,0.09057730475040579,0.09090195458822085,0.9801527764779203,0.026426499016234953,114.0,0.23
scenario_0004,gate_fifo300,4,0.6,3.675472812031094,4.726257256130564,8,150,24,23.49611347545937,0.13108014550138095,83.85797248786798,0.32010533461546853,594.4266671214542,900,900,1.2981341628087275,0.2178503096121513,0.21844527131830385,0.8356728746335957,0.8319916997110613,0.9064171732216624,0.7821496903878487,reactive_gate,485,126,0,0.0,0.0,126,447.76916312153594,2215.12330326446,359.21803296679013,900.0000000000002,0,0,0.0,0.0,0.0,67,0,0,0,0.0,0.0,4073556528.792122,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,nan,0.0723772080638698,0.0723772080638698,0.9732701998575499,0.04291159956899397,151.2,0.28
scenario_0004,gate_fifo300,5,0.6,3.675472812031094,4.726257256130564,8,150,24,23.49611347545937,0.13108014550138095,83.85797248786798,0.32010533461546853,594.4266671214542,900,900,1.2981341628087275,0.2178503096121513,0.21844527131830385,0.8356728746335957,0.8319916997110613,0.9064171732216624,0.7821496903878487,reactive_gate,419,138,2,0.014285714285714285,0.058823529411764705,138,606.7222372376308,2404.4276248296296,291.69485662834705,900.0000000000002,0,0,0.0,0.0,0.0,165,0,0,0,0.0012488011060612738,0.0,4804431510.872924,0.0,0,0.0,0.0,0.0,0.0,4,0,0,0,0,nan,0.06296859951169566,0.06336092723450996,0.9852849329059831,0.0446374458332688,165.6,0.27
scenario_0004,gate_fifo300,6,0.6,3.675472812031094,4.726257256130564,8,150,24,23.49611347545937,0.13108014550138095,83.85797248786798,0.32010533461546853,594.4266671214542,900,900,1.2981341628087275,0.2178503096121513,0.21844527131830385,0.8356728746335957,0.8319916997110613,0.9064171732216624,0.7821496903878487,reactive_gate,419,95,1,0.010416666666666666,0.027777777777777776,95,807.3023637488418,2292.0772335072284,299.6551352864738,900.0000000000002,0,0,0.0,0.0,0.0,214,0,0,0,0.0006469881129623501,0.0,4878479769.530766,0.0,0,0.0,0.0,0.0,0.0,5,0,0,0,0,nan,0.06072994427842892,0.06089275914244616,0.9868068222044161,0.036083036015146036,114.0,0.33
scenario_0004,gate_fifo300,7,0.6,3.675472812031094,4.726257256130564,8,150,24,23.49611347545937,0.13108014550138095,83.85797248786798,0.32010533461546853,594.4266671214542,900,900,1.2981341628087275,0.2178503096121513,0.21844527131830385,0.8356728746335957,0.8319916997110613,0.9064171732216624,0.7821496903878487,reactive_gate,320,118,0,0.0,0.0,118,571.5892581647862,2414.164356215827,165.99950356253856,900.0000000000002,0,0,0.0,0.0,0.0,124,0,0,0,0.0,0.16660740412651204,4173129586.5758286,0.0,0,0.0,0.0,0.0,0.0,2,0,0,0,0,nan,0.12808267232170437,0.12808267232170437,0.9664949727207977,0.043959791771211204,141.6,0.22
scenario_0004,gate_fifo300,8,0.6,3.675472812031094,4.726257256130564,8,150,24,23.49611347545937,0.13108014550138095,83.85797248786798,0.32010533461546853,594.4266671214542,900,900,1.2981341628087275,0.2178503096121513,0.21844527131830385,0.8356728746335957,0.8319916997110613,0.9064171732216624,0.7821496903878487,reactive_gate,456,89,0,0.0,0.0,89,1123.5207450048965,2430.2602224265265,314.19553831692843,900.0000000000002,0,0,0.0,0.0,0.0,282,0,0,0,0.0,0.0,5542106395.908983,0.0,0,0.0,0.0,0.0,0.0,2,0,0,0,0,nan,0.07268740073983297,0.07268740073983297,0.9207499576032765,0.01640120534431073,106.8,0.38
scenario_0004,gate_fifo300,9,0.6,3.675472812031094,4.726257256130564,8,150,24,23.49611347545937,0.13108014550138095,83.85797248786798,0.32010533461546853,594.4266671214542,900,900,1.2981341628087275,0.2178503096121513,0.21844527131830385,0.8356728746335957,0.8319916997110613,0.9064171732216624,0.7821496903878487,reactive_gate,468,127,0,0.0,0.0,127,674.35333693294,2404.787408437099,257.6945345974111,900.0000000000002,0,0,0.0,0.0,0.0,177,0,0,0,0.0,0.0,4550169556.98527,0.0,0,0.0,0.0,0.0,0.0,4,0,0,0,0,nan,0.059810404679288484,0.059810404679288484,0.9692105137286325,0.059925722868079394,152.4,0.31
scenario_0004,gate_fifo300,10,0.6,3.675472812031094,4.726257256130564,8,150,24,23.49611347545937,0.13108014550138095,83.85797248786798,0.32010533461546853,594.4266671214542,900,900,1.2981341628087275,0.2178503096121513,0.21844527131830385,0.8356728746335957,0.8319916997110613,0.9064171732216624,0.7821496903878487,reactive_gate,362,107,1,0.009259259259259259,0.038461538461538464,107,547.5728561439951,1963.9794053767598,203.32206588701806,900.0000000000002,0,0,0.0,0.0,0.0,183,0,0,0,8.279228014982448e-05,0.0,4004078000.5455766,0.0,0,0.0,0.0,0.0,0.0,2,0,0,0,0,nan,0.09245211399095853,0.09278112507277687,0.9793072267450144,0.038989196640843854,128.4,0.24
