scenario,variant,seed,content_snr,policy,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,budget_errs,usd,usd_per_req,usd_waste_frac,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,spawns,children,children_aborted,join_p99,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
mcp_budget,uncoordinated,1,0.6,uncoordinated,5842,72,5760,0.9876543209876543,0.9942995335982034,72,40.14594830597321,269.456688156692,1.9370895567080788,0.0,130,52552,47.799,0.66387,0.8271765644790243,6,0,0,0,0.832801111970925,0.8953903104745214,174190605.16387716,0.0,0,0.0,0.0,0.0,0.0,73,39,0,0,0,nan,0.0111109873090506,0.7811973279392938,0.4600933548384486,0.022689501834468356,39.27272727272727,1.31
mcp_budget,uncoordinated,2,0.6,uncoordinated,5883,66,5807,0.9887621317895454,0.9938324481754326,66,50.88685902025077,409.82169104819735,1.924541142320504,0.0,26,52029,49.3701,0.74803,0.7838399136577883,3,0,0,0,0.7795036316789508,0.834108923430838,385577602.19438964,0.0,0,0.0,0.0,0.0,0.0,76,48,0,0,0,nan,0.010408909644445142,0.779741057696987,0.41589154110819737,0.02981081413061526,36.0,1.32
mcp_budget,uncoordinated,3,0.6,uncoordinated,5159,69,5080,0.9865993396776073,0.9950970778584036,69,41.187502524274805,275.79135245099866,1.9315753263592708,0.0,141,46076,48.1963,0.6985,0.818840158125021,9,0,0,0,0.8105675371440312,0.9089472668277379,514662127.1925323,0.0,0,0.0,0.0,0.0,0.0,82,44,0,0,0,nan,0.009877841900735696,0.7647781707852773,0.4584207024653587,0.024650707908805174,37.63636363636364,1.0
mcp_budget,uncoordinated,4,0.6,uncoordinated,3200,77,3113,0.9758620689655172,0.9888605983450032,77,53.716989060675814,481.70314340264156,1.933687821499625,0.0,0,28654,49.2415,0.6395,0.7691984559353033,16,0,0,0,0.7661021178528968,0.87255434627317,540855837.9235421,0.0,0,0.0,0.0,0.0,0.0,85,50,0,0,0,nan,0.0202586798204889,0.7689949559350192,0.4668381528425279,0.033063918438560755,42.0,0.71
mcp_budget,uncoordinated,5,0.6,uncoordinated,4528,78,4440,0.9827357237715804,0.9926191008722881,78,50.661957667248544,426.62069600749015,1.9229674307457025,0.0,18,41050,47.4759,0.60866,0.7770204851519246,10,0,0,0,0.7775967099011736,0.8412377228683937,445470012.4654418,0.0,0,0.0,0.0,0.0,0.0,73,50,0,0,0,nan,0.014743411303536213,0.7584530722185464,0.44544773811836313,0.03248975157769251,42.54545454545455,0.91
mcp_budget,uncoordinated,6,0.6,uncoordinated,4330,92,4228,0.9787037037037037,0.9908472189626848,92,46.22757447850569,677.0639820937831,1.93309103698263,0.0,0,38602,50.6759,0.55082,0.6712928184933094,5,0,0,0,0.6576009561703757,0.6982809118513507,461671893.65178615,0.0,0,0.0,0.0,0.0,0.0,64,35,0,0,0,nan,0.01583880855227616,0.7816665911402562,0.43621226484395237,0.035342833080987165,50.18181818181819,1.01
mcp_budget,uncoordinated,7,0.6,uncoordinated,3841,65,3766,0.9830331506134169,0.9923442449841605,65,81.04090957050471,547.9815209307735,1.925788390539251,0.0,34,34666,50.0774,0.77042,0.7162690621987978,10,0,0,0,0.6945279261911796,0.8144113538045002,719836061.2878513,0.0,0,0.0,0.0,0.0,0.0,88,52,0,0,0,nan,0.013110142565693459,0.7382236733369812,0.4435059622911811,0.031144131455765365,35.45454545454545,0.78
mcp_budget,uncoordinated,8,0.6,uncoordinated,4090,76,4004,0.9813725490196078,0.9903441445902451,76,51.75090885287182,606.2185335616291,1.9380483235713337,0.0,6,35998,49.533,0.65175,0.7191880599112127,8,0,0,0,0.7178725009359614,0.8246854904337659,473710618.3608271,0.0,0,0.0,0.0,0.0,0.0,82,53,0,0,0,nan,0.015861965138184646,0.7880015564074987,0.4552623699333075,0.03807623915071981,41.45454545454545,0.73
mcp_budget,uncoordinated,9,0.6,uncoordinated,4671,76,4585,0.9836944861617679,0.9937065972222222,76,56.278657346114414,498.33503049792427,1.958385169044218,1.4078151337780582,130,41587,50.5725,0.66543,0.7327015684254036,9,0,0,0,0.7312119516743263,0.8338873172345794,558168178.7602798,0.0,0,0.0,0.0,0.0,0.0,85,54,0,0,0,nan,0.013983112339698513,0.7412745860491654,0.4364925783961409,0.0396989495876169,41.45454545454545,0.8
mcp_budget,uncoordinated,10,0.6,uncoordinated,3635,96,3529,0.9735172413793104,0.9890664423885618,96,50.984292269722346,350.75676423129596,1.936860067462039,0.0,22,32486,48.3914,0.50408,0.7313660250880292,8,0,0,0,0.7252026749837734,0.8423488152522612,533569408.9092492,0.0,0,0.0,0.0,0.0,0.0,79,52,0,0,0,nan,0.02163111836951078,0.7839886857851791,0.4377730676880989,0.039216293557836145,52.36363636363637,0.78
